timestamp,Temperature,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Global radiation,Precipitation Total
20200210T1400,26.189215,53.61702,439.66,135.6417,304.0183,743.6783,0
20200210T1500,26.749214,53.61702,450.34,224.00302,226.33698,676.67698,0
20200210T1600,27.059214,53.61702,525.99,349.61545,176.37454,702.36454,0
20200210T1700,26.079214,53.61702,383.59,225.32733,158.26266,541.85266,0
20200210T1800,23.819214,53.61702,160.2,87.19618,73.003815,233.203815,0
20200210T1900,21.439215,14.150177,2.67,1.4217296,1.2482705,3.9182705,0
20200210T2000,19.859215,0,0,0,0,0,0
20200210T2100,18.899214,0,0,0,0,0,0
20200210T2200,18.319214,0,0,0,0,0,0
20200210T2300,18.569214,0,0,0,0,0,0
20200211T0000,18.339214,0,0,0,0,0,0
20200211T0100,17.879213,0,0,0,0,0,0
20200211T0200,17.519215,0,0,0,0,0,0
20200211T0300,17.149214,0,0,0,0,0,0
20200211T0400,16.879213,0,0,0,0,0,0
20200211T0500,16.769215,0,0,0,0,0,0
20200211T0600,16.629213,0,0,0,0,0,0
20200211T0700,17.039215,0,25.81,15.757246,10.052753,35.862753,0
20200211T0800,18.839214,0,172.66,111.28262,61.37738,234.03738,0
20200211T0900,21.599215,53.61702,372.02,256.70508,115.31492,487.33492,0
20200211T1000,24.549213,4.468085,626.56,419.01642,207.54356,834.10356,0
20200211T1100,26.339214,60,831.26,553.3683,277.89175,1109.15175,0
20200211T1200,27.699213,53.61702,909.57996,626.6054,282.97455,1192.55451,0
20200211T1300,28.419214,53.61702,905.13,638.2573,266.87265,1172.00265,0
20200211T1400,28.689215,53.61702,865.07996,596.37274,268.7072,1133.78716,0
20200211T1500,28.529213,53.61702,748.49,497.5008,250.9892,999.4792,0
20200211T1600,27.729214,53.61702,582.06,364.06308,217.99692,800.05692,0
20200211T1700,26.469213,60,380.03,223.31973,156.71027,536.74027,0
20200211T1800,24.289213,50.425533,160.2,87.22126,72.97874,233.17874,0
20200211T1900,22.189215,11.939008,2.67,1.3748418,1.2951583,3.9651583,0
20200211T2000,20.429214,0,0,0,0,0,0
20200211T2100,19.649214,0,0,0,0,0,0
20200211T2200,18.999214,0,0,0,0,0,0
20200211T2300,18.769215,0,0,0,0,0,0
20200212T0000,18.399214,0,0,0,0,0,0
20200212T0100,17.909214,0,0,0,0,0,0
20200212T0200,17.129213,0,0,0,0,0,0
20200212T0300,17.229214,0,0,0,0,0,0
20200212T0400,17.179214,0,0,0,0,0,0
20200212T0500,17.179214,0,0,0,0,0,0
20200212T0600,17.299213,0,0,0,0,0,0
20200212T0700,18.059214,0,19.58,13.2885685,6.291431,25.871431,0
20200212T0800,19.469213,0,146.84999,115.57142,31.278574,178.128564,0
20200212T0900,21.609213,42.957443,337.31,275.49963,61.810352,399.120352,0
20200212T1000,24.589214,53.61702,654.14996,425.2727,228.87727,883.02723,0
20200212T1100,25.159214,51.70213,708.44,522.59357,185.84645,894.28645,0
20200212T1200,25.779213,53.61702,425.41998,102.11774,323.30225,748.72223,0
20200212T1300,26.529213,53.61702,617.66,354.18948,263.4705,881.1305,0
20200212T1400,28.009214,53.61702,735.14,559.78784,175.35214,910.49214,0
20200212T1500,26.889214,53.61702,580.27997,457.96207,122.317894,702.597864,0
20200212T1600,27.019215,53.61702,373.8,234.49333,139.30666,513.10666,0
20200212T1700,25.939215,53.61702,382.69998,224.97195,157.72803,540.42801,0
20200212T1800,23.739214,53.61702,159.31,86.76149,72.54851,231.85851,0
20200212T1900,21.439215,12.363831,2.67,1.3293264,1.3406737,4.0106737,0
20200212T2000,20.509214,0,0,0,0,0,0
20200212T2100,19.569214,0,0,0,0,0,0
20200212T2200,19.179214,0,0,0,0,0,0
20200212T2300,18.729214,0,0,0,0,0,0
20200213T0000,18.169214,0,0,0,0,0,0
20200213T0100,18.359215,0,0,0,0,0,0
20200213T0200,18.239214,0,0,0,0,0,0
20200213T0300,18.029213,0,0,0,0,0,0
20200213T0400,17.879213,0,0,0,0,0,0
20200213T0500,17.849213,0,0,0,0,0,0
20200213T0600,17.909214,0,0,0,0,0,0
20200213T0700,18.169214,0,27.59,16.284964,11.305037,38.895037,0
20200213T0800,20.199213,0,142.4,105.87729,36.52271,178.92271,0
20200213T0900,21.789213,20.425533,250.98,120.29755,130.68245,381.66245,0
